sku,image,color,origin,size,description,color1,color2,color3,error
10203,https://drive.google.com/uc?export=view&id=1b3plkShlDB2sorl2t7d_zGJIzRNM04kJ,#ffffff;#ad6b52;#8c6b52,,,Color: #ffffff;#ad6b52;#8c6b52,#ffffff,#ad6b52,#8c6b52,
10204,https://drive.google.com/uc?export=view&id=1AfQ-2EondoDdFz6as0_LZ8hggBSdtmPl,#7b5a42;#634a3a;#84634a,,,Color: #7b5a42;#634a3a;#84634a,#7b5a42,#634a3a,#84634a,
10205,https://drive.google.com/uc?export=view&id=1KiyXY1FGRuZuZ_B_3e9gFuxZxuHdckpX,#ffffff;#7b5a42;#84634a,,,Color: #ffffff;#7b5a42;#84634a,#ffffff,#7b5a42,#84634a,
10206,https://drive.google.com/uc?export=view&id=1DDl4el1TLdMheekBCiSvrEANmSHtQoXJ,#ffffff;#947352;#9c7b5a,,,Color: #ffffff;#947352;#9c7b5a,#ffffff,#947352,#9c7b5a,
10207,https://drive.google.com/uc?export=view&id=1p4CcIMxpDbI_O_6QC91kyfGSWtUB85AN,#94846b;#6b524a;#948473,,,Color: #94846b;#6b524a;#948473,#94846b,#6b524a,#948473,
10208,https://drive.google.com/uc?export=view&id=17kqMP_G_KtoXuqN0mZZZw6XrBs4_UPBT,#6b5242;#634a3a;#635242,,,Color: #6b5242;#634a3a;#635242,#6b5242,#634a3a,#635242,
10209,https://drive.google.com/uc?export=view&id=1oVbq5ZYuVRpcBOb_h58H3sG9rVMv-OMY,#7b6b52;#735a4a;#736352,,,Color: #7b6b52;#735a4a;#736352,#7b6b52,#735a4a,#736352,
10210,https://drive.google.com/uc?export=view&id=1LyU665h6ZoNSotsbaRBfKVUnux-UDDkV,#ffffff;#8c6b5a;#947363,,,Color: #ffffff;#8c6b5a;#947363,#ffffff,#8c6b5a,#947363,
10211,https://drive.google.com/uc?export=view&id=1r9GKdcH2doAszTkIb_MTlnqYjpJZGFA8,#ffffff;#8c6b5a;#947363,,,Color: #ffffff;#8c6b5a;#947363,#ffffff,#8c6b5a,#947363,
10212,https://drive.google.com/uc?export=view&id=1lhmYfJeSCf4UuGO0UkFd-WO0zKE5D93m,#ffffff;#bd8473;#b58473,,,Color: #ffffff;#bd8473;#b58473,#ffffff,#bd8473,#b58473,
